Time;Output 1;Output 2;Output 3;Output 4
15:47:05;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:06;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:07;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:08;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:09;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:10;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:11;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:12;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:13;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:14;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:15;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:16;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:17;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:18;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:19;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:20;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:21;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:22;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:23;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:24;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:25;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:26;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:27;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:28;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:30;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:31;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:32;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:33;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:34;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:35;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:36;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:37;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:38;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:39;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:40;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:41;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:42;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:43;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:44;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:45;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:47:46;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
